Code du niveau;Libellé du niveau;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp
FE;France entière;Complet;48752424;13656088;28,01;35096336;71,99;2228873;4,57;6,35;789937;1,62;2,25;32077526;65,8;91,4;1;M;MACRON;Emmanuel;18779664;38,52;58,54
FE;France entière;Complet;48752424;13656088;28,01;35096336;71,99;2228873;4,57;6,35;789937;1,62;2,25;32077526;65,8;91,4;2;F;LE PEN;Marine;13297862;27,28;41,46
